visit,airtemp,watertemp,ph,sex,svl,infection,swab
1,12.3,13.1,5.11,1,4,0,DP-1
1,12.3,13.1,5.11,1,3.9,0,DP-2
1,12.3,13.1,5.11,1,3.5,0,DP-3
1,12.3,13.1,5.11,1,3.6,0,DP-4
1,12.3,13.1,5.11,F,3.9,0,DP-5
1,12.3,13.1,5.11,F,4,0,DP-6
1,12.3,13.1,5.11,F,4.1,0,DP-7
1,12.3,13.1,5.11,1,3.4,0,DP-8
1,12.3,13.1,5.11,1,3.5,0,DP-9
1,12.3,13.1,5.11,1,3.5,0,DP-10
1,12.3,13.1,5.11,1,3.5,0,DP-11
1,12.3,13.1,5.11,1,3.3,0,DP-12
1,12.3,13.1,5.11,1,3.6,0,DP-13
1,12.3,13.1,5.11,1,3.9,0,DP-14
1,12.3,13.1,5.11,F,3.8,0,DP-15
1,12.3,13.1,5.11,F,3.8,0,DP-16
1,12.3,13.1,5.11,1,3.3,0,DP-17
1,12.3,13.1,5.11,F,4,0,DP-18
1,12.3,13.1,5.11,1,3,0,DP-19
1,12.3,13.1,5.11,F,3.9,0,DP-20
1,12.3,13.1,5.11,F,3.9,0,DP-21
1,12.3,13.1,5.11,1,3.5,0,DP-22
1,12.3,13.1,5.11,1,3.2,0,DP-23
1,12.3,13.1,5.11,1,3.6,0,DP-24
1,12.3,13.1,5.11,1,3.4,0,DP-25
1,12.3,13.1,5.11,F,4,0,DP-26
1,12.3,13.1,5.11,1,3.2,0,DP-27
1,18.4,16,6.26,F,4,0,R4-1
1,18.4,16,6.26,1,3.4,0,R4-2
1,18.4,16,6.26,F,3.8,0,R4-3
1,18.4,16,6.26,1,3.7,0,R4-4
1,18.4,16,6.26,F,3.6,0,R4-5
1,18.4,16,6.26,1,3.2,0,R4-6
1,18.4,16,6.26,F,3.4,0,R4-7
1,18.4,16,6.26,1,3.5,0,R4-8
1,18.4,16,6.26,F,3.6,0,R4-9
1,18.4,16,6.26,1,3.7,0,R4-10
1,18.4,16,6.26,F,4,0,R4-11
1,18.4,16,6.26,1,3.5,0,R4-12
1,18.4,16,6.26,F,4.1,0,R4-13
1,18.4,16,6.26,F,3.6,0,R4-14
1,18.4,16,6.26,1,3.2,0,R4-15
1,18.4,16,6.26,1,3.8,1,R4-21
1,18.4,16,6.26,F,4.1,1,R4-22
1,18.4,16,6.26,1,3.2,1,R4-23
1,18.4,16,6.26,F,4,1,R4-24
1,18.4,16,6.26,1,3.9,1,R4-25
1,18.4,16,6.26,1,3.6,1,R4-26
1,18.4,16,6.26,1,3.5,1,R4-27
1,18.4,16,6.26,F,3.8,1,R4-28
1,18.4,16,6.26,1,3.4,1,R4-29
1,18.4,16,6.26,1,3.3,1,R4-30
1,18.4,16,6.26,1,3.1,1,R4-31
1,18.4,16,6.26,F,4.1,1,R4-32
1,18.4,16,6.26,F,3.6,1,R4-33
1,18.4,16,6.26,1,3.6,1,R4-34
1,18.4,16,6.26,1,3.5,1,R4-35
1,18.4,16,6.26,F,3.8,1,R4-36
1,18.4,16,6.26,1,3.3,1,R4-37
1,18.4,16,6.26,F,3.7,1,R4-38
1,18.4,16,6.26,1,3.6,1,R4-39
1,18.4,16,6.26,F,3.8,1,R4-40
1,18.4,16,6.26,1,3.5,1,R4-41
1,18.4,16,6.26,1,3.3,1,R4-42
1,18.4,16,6.26,1,3.3,1,R4-43
1,18.4,16,6.26,1,3.6,1,R4-44
1,18.4,16,6.26,1,3.2,1,R4-45
1,18.4,16,6.26,1,3.5,1,R4-46
1,18.4,16,6.26,F,3.7,1,R4-47
1,18.4,16,6.26,F,3.6,1,R4-48
1,18.4,16,6.26,1,3.4,1,R4-49
1,18.4,16,6.26,1,3.5,1,R4-50
1,10.1 (8.2),10.7,5.38,1,3.2,0,Rnew-1
